OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,TotNumberCycles,TotUsingFrozenEggs,MedicalDirector,IVF_Rate,Unstimulated_Rate,Gest_Rate,ICSI_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDTwinLBRate1,FshNDTwinLBRate2,FshNDTwinLBRate3,FshNDTwinLBRate4,FshNDTwinLBRate5,FshNDHealthSnglLBRate1,FshNDHealthSnglLBRate2,FshNDHealthSnglLBRate3,FshNDHealthSnglLBRate4,FshNDHealthSnglLBRate5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDTwinLB_TransRate1,FshNDTwinLB_TransRate2,FshNDTwinLB_TransRate3,FshNDTwinLB_TransRate4,FshNDTwinLB_TransRate5,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDTwinLB_TransRate1,ThwNDTwinLB_TransRate2,ThwNDTwinLB_TransRate3,ThwNDTwinLB_TransRate4,ThwNDTwinLB_TransRate5,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,TotBankingCycles1,TotBankingCycles2,TotBankingCycles3,TotBankingCycles4,TotBankingCycles5,TotBankLTCycles1,TotBankLTCycles2,TotBankLTCycles3,TotBankLTCycles4,TotBankLTCycles5,FshDnrEggTotCycles,ThwDnrEggTotCycles,ThwDnrEmbTotCycles,DonatedEmbCycles,FshDnrEggTransfers,ThwDnrEggTransfers,ThwDnrEmbTransfers,DonatedEmbTransfers,FshDnrEggRate,ThwDnrEggRate,ThwDnrEmbRate,DonatedEmbRate,FshDnrEggImplant,ThwDnrEggImplant,ThwDnrEmbImplant,DonatedEmbImplant,FshDnrEggTransPregRate,ThwDnrEggTransPregRate,ThwDnrEmbTransPregRate,DonatedEmbTransPregRate,FshDnrEggLvBirths_TransRate,ThwDnrEggLvBirths_TransRate,ThwDnrEmbLvBirths_TransRate,DonatedEmbLvBirths_TransRate,FshDnrEggSnglLB_TransRate,ThwDnrEggSnglLB_TransRate,ThwDnrEmbSnglLB_TransRate,DonatedEmbSnglLB_TransRate,FshDnrEggTwinLvBirths_TransRate,ThwDnrEggTwinLvBirths_TransRate,ThwDnrEmbTwinLvBirths_TransRate,DonatedEmbTwinLvBirths_TransRate,FshDnrEggHealthSnglLB_TransRate,ThwDnrEggSngLB_TransRate,ThwDnrEmbSngLB_TransRate,DonatedEmbSngLB_TransRate,ReorgOrClosedMessage,CurrClinNameAll,DonorEgg,DonorEmbryo,EmbryoCryo,EggCryo,SingleWomen,Surrogates,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
204,AUDUBON FERTILITY & REPRODUCTIVE MEDICINE,,NEW ORLEANS,LOUISIANA,396,0,"Lindsay Wells, MD",100%,0%,1%,72%,22%,16%,26%,20%,9%,4%,31%,22%,11%,17%,14%,67,20,20,6,0,10.4,30.0,45.0,1 / 6,,2,1,0,2,0,2.0,1.0,,2.5,,0 / 2,,,0 / 2,,3.0,5.0,0.0,1 / 6,,3.0,5.0,0.0,1 / 6,,3.0,5.0,0.0,0 / 6,,0.0,0.0,0.0,1 / 6,,1.5,5.0,0.0,0 / 6,,3 / 4,1 / 1,,2 / 5,,2 / 2,1 / 1,,1 / 2,,2 / 2,1 / 1,,1 / 2,,2 / 2,1 / 1,,0 / 2,,0 / 2,0 / 1,,1 / 2,,1 / 2,1 / 1,,0 / 2,,113,22,20,6,2,101,17,17,5,2,1.1,0.8,0.4,0.6,0.7,1.4,1.3,1.4,1.4,1.5,62.3,85.0,56.5,1 / 7,2 / 3,73.3,16 / 17,12 / 17,1 / 5,1 / 2,63.4,14 / 17,7 / 17,1 / 5,1 / 2,50.5,12 / 17,7 / 17,1 / 5,0 / 2,12.9,2 / 17,0 / 17,0 / 5,1 / 2,40.6,10 / 17,7 / 17,1 / 5,0 / 2,42,12,33,7,2,7,4,4,0,0,1,1,19,3,1,1,15,3,2.0,1.0,1.1,1.7,1 / 2,0 / 1,11 / 16,2 / 5,1 / 1,0 / 1,11 / 15,1 / 3,1 / 1,0 / 1,9 / 15,1 / 3,1 / 1,0 / 1,8 / 15,1 / 3,0 / 1,0 / 1,1 / 15,0 / 3,1 / 1,0 / 1,5 / 15,1 / 3,,Audubon Fertility,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,LA
205,CENTER FOR FERTILITY & WELLNESS,,NEW ORLEANS,LOUISIANA,19,0,"Paul R. Clisham, MD",100%,,0%,100%,30%,20%,0%,30%,10%,0%,70%,10%,10%,10%,30%,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,3,0,0,5,0,3,0,0,1.7,0.0,0.6,,,2.2,,1.3,,,4 / 11,,2 / 4,,,4 / 5,,1 / 3,,,4 / 5,,1 / 3,,,4 / 5,,0 / 3,,,0 / 5,,1 / 3,,,1 / 5,,0 / 3,,,3,1,5,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,,,1.0,,,,1 / 2,,,,1 / 2,,,,1 / 2,,,,1 / 2,,,,0 / 2,,,,0 / 2,,This clinic has closed since 2016. Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for further information.,,,,,,,,,,0,LA
206,ARKLATEX FERTILITY AND REPRODUCTIVE MEDICINE,,SHREVEPORT,LOUISIANA,165,0,"David T. Vandermolen, MD",100%,0%,1%,68%,4%,21%,26%,24%,12%,7%,30%,8%,5%,13%,17%,64,23,15,5,2,15.6,17.4,2 / 15,1 / 5,1 / 2,40,17,13,4,0,2.0,2.1,2.9,3.3,,20.0,2 / 17,0 / 12,0 / 4,,31.3,34.8,9 / 15,1 / 5,0 / 2,23.4,26.1,4 / 15,1 / 5,0 / 2,15.6,13.0,2 / 15,1 / 5,0 / 2,4.7,13.0,2 / 15,0 / 5,0 / 2,9.4,8.7,1 / 15,1 / 5,0 / 2,33.3,30.3,28.9,1 / 13,,50.0,8 / 17,9 / 13,1 / 4,,37.5,6 / 17,4 / 13,1 / 4,,25.0,3 / 17,2 / 13,1 / 4,,7.5,3 / 17,2 / 13,0 / 4,,15.0,2 / 17,1 / 13,1 / 4,,34,15,3,0,0,34,15,3,0,0,1.7,2.1,3.0,,,1.4,1.7,1.3,,,57.8,43.5,3 / 4,,,67.6,7 / 15,3 / 3,,,52.9,6 / 15,3 / 3,,,47.1,2 / 15,3 / 3,,,5.9,4 / 15,0 / 3,,,38.2,2 / 15,3 / 3,,,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arklatex Fertility and Reproductive Medicine,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,LA
207,"BOSTON IVF, THE MAINE CENTER",,SOUTH PORTLAND,MAINE,425,0,"Michael M. Alper, MD",100%,0%,<1%,24%,6%,16%,9%,16%,6%,2%,25%,20%,25%,10%,8%,98,46,39,27,14,5.1,4.3,5.1,18.5,1 / 14,82,36,34,19,10,1.2,1.4,1.8,2.3,2.6,77.1,50.0,14.8,0 / 16,0 / 8,45.9,34.8,35.9,7.4,1 / 14,41.8,28.3,17.9,3.7,0 / 14,40.8,17.4,12.8,3.7,0 / 14,1.0,10.9,5.1,0.0,0 / 14,37.8,13.0,10.3,0.0,0 / 14,48.4,40.8,24.1,4.7,0.0,54.9,44.4,41.2,2 / 19,1 / 10,50.0,36.1,20.6,1 / 19,0 / 10,48.8,22.2,14.7,1 / 19,0 / 10,1.2,13.9,5.9,0 / 19,0 / 10,45.1,16.7,11.8,0 / 19,0 / 10,77,40,30,15,3,74,37,26,13,2,2.6,1.9,2.6,1.2,0.2,1.3,1.4,1.3,1.5,1.0,53.4,42.2,45.2,3 / 19,1 / 2,60.8,59.5,53.8,4 / 13,1 / 2,45.9,40.5,42.3,2 / 13,0 / 2,35.1,40.5,38.5,2 / 13,0 / 2,9.5,0.0,3.8,0 / 13,0 / 2,29.7,37.8,38.5,0 / 13,0 / 2,3,7,4,6,7,0,0,0,0,0,1,0,7,1,1,0,7,1,1.0,,1.1,2.0,1 / 1,,5 / 8,0 / 2,1 / 1,,5 / 7,0 / 1,1 / 1,,5 / 7,0 / 1,1 / 1,,5 / 7,0 / 1,0 / 1,,0 / 7,0 / 1,0 / 1,,4 / 7,0 / 1,,"Boston IVF, The Maine Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,ME
208,"THE A.R.T. INSTITUTE OF WASHINGTON, INC.",WALTER REED NATIONAL MILITARY MEDICAL CENTER,BETHESDA,MARYLAND,621,0,"John Csokmay, MD",100%,0%,0%,74%,<1%,25%,13%,5%,12%,5%,44%,1%,24%,7%,19%,186,60,82,29,2,4.8,15.0,8.5,24.1,0 / 2,127,41,59,18,2,1.2,1.3,1.7,1.6,2.5,77.8,67.6,23.5,5 / 15,0 / 2,34.9,26.7,32.9,24.1,1 / 2,27.4,18.3,24.4,17.2,1 / 2,25.8,13.3,20.7,17.2,1 / 2,1.6,5.0,3.7,0.0,0 / 2,19.9,10.0,18.3,13.8,1 / 2,43.8,34.7,29.0,20.8,2 / 5,51.2,39.0,45.8,7 / 18,1 / 2,40.2,26.8,33.9,5 / 18,1 / 2,37.8,19.5,28.8,5 / 18,1 / 2,2.4,7.3,5.1,0 / 18,0 / 2,29.1,14.6,25.4,4 / 18,1 / 2,134,60,36,18,3,124,58,36,18,3,1.7,3.1,2.1,3.0,1.5,1.2,1.3,1.5,1.9,1.0,52.0,49.3,31.4,20.0,3 / 3,58.9,58.6,41.7,7 / 18,2 / 3,51.6,46.6,38.9,7 / 18,1 / 3,47.6,41.4,33.3,7 / 18,1 / 3,4.0,5.2,5.6,0 / 18,0 / 3,40.3,31.0,25.0,7 / 18,1 / 3,8,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The A.R.T. Institute of Washington, Inc., Walter Reed National Military Medical Center",No,No,Yes,Yes,Yes,No,Yes,Yes,0,MD
209,"ENDRIKA HINTON, MD",,LUTHERVILLE,MARYLAND,34,0,"Endrika L. Hinton, MD",100%,0%,0%,29%,52%,5%,67%,14%,62%,5%,14%,0%,5%,52%,10%,5,3,2,0,1,0 / 5,0 / 3,1 / 2,,0 / 1,3,1,0,0,0,1.0,1.0,,,,1 / 1,,,,,1 / 5,1 / 3,0 / 2,,0 / 1,1 / 5,1 / 3,0 / 2,,0 / 1,1 / 5,1 / 3,0 / 2,,0 / 1,0 / 5,0 / 3,0 / 2,,0 / 1,1 / 5,1 / 3,0 / 2,,0 / 1,1 / 3,1 / 1,,,,1 / 3,1 / 1,,,,1 / 3,1 / 1,,,,1 / 3,1 / 1,,,,0 / 3,0 / 1,,,,1 / 3,1 / 1,,,,4,2,3,1,0,4,2,3,1,0,0.5,0.4,0.6,1.0,,1.0,1.0,1.3,1.0,,1 / 4,2 / 2,2 / 4,1 / 1,,1 / 4,2 / 2,2 / 3,1 / 1,,0 / 4,2 / 2,2 / 3,1 / 1,,0 / 4,2 / 2,2 / 3,1 / 1,,0 / 4,0 / 2,0 / 3,0 / 1,,0 / 4,2 / 2,2 / 3,1 / 1,,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Endrika Hinton, MD",No,No,Yes,Yes,Yes,No,Yes,Yes,0,MD
210,JOHNS HOPKINS FERTILITY CENTER,,LUTHERVILLE,MARYLAND,675,4,"Jairo E. Garcia, MD",100%,<1%,1%,53%,10%,14%,16%,30%,12%,16%,23%,12%,7%,14%,10%,95,66,56,49,18,9.5,24.2,12.5,20.4,5 / 18,50,32,36,16,6,1.4,1.7,1.8,1.8,1.8,43.6,23.1,0.0,0 / 10,0 / 5,21.1,12.1,14.3,4.1,0 / 18,16.8,7.6,10.7,4.1,0 / 18,13.7,3.0,10.7,4.1,0 / 18,3.2,4.5,0.0,0.0,0 / 18,9.5,3.0,10.7,2.0,0 / 18,31.9,22.6,13.8,6.9,0 / 11,40.0,25.0,22.2,2 / 16,0 / 6,32.0,15.6,16.7,2 / 16,0 / 6,26.0,6.3,16.7,2 / 16,0 / 6,6.0,9.4,0.0,0 / 16,0 / 6,18.0,6.3,16.7,1 / 16,0 / 6,73,62,31,13,12,73,62,28,9,12,1.0,1.0,0.5,0.3,1.0,1.6,1.5,1.6,1.7,1.9,29.8,34.1,33.3,4 / 15,4.3,39.7,46.8,46.4,3 / 9,1 / 12,31.5,38.7,39.3,3 / 9,0 / 12,26.0,33.9,32.1,2 / 9,0 / 12,5.5,4.8,7.1,1 / 9,0 / 12,23.3,29.0,21.4,2 / 9,0 / 12,52,42,48,22,10,18,4,5,2,0,3,11,7,1,0,11,7,1,,1.4,1.7,2.0,,5 / 15,2 / 12,1 / 2,,5 / 11,2 / 7,1 / 1,,4 / 11,0 / 7,1 / 1,,4 / 11,0 / 7,1 / 1,,0 / 11,0 / 7,0 / 1,,4 / 11,0 / 7,1 / 1,,Johns Hopkins Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,MD
211,MONTGOMERY FERTILITY CENTER,,ROCKVILLE,MARYLAND,92,0,"Oluyemisi Adesanya-Famuyiwa, MD",100%,0%,4%,56%,0%,27%,19%,27%,0%,29%,35%,10%,12%,25%,24%,13,12,6,5,2,1 / 13,0 / 12,1 / 6,0 / 5,0 / 2,12,12,5,4,2,2.3,3.0,1.8,2.8,2.0,0 / 11,0 / 12,0 / 3,0 / 4,0 / 1,2 / 13,5 / 12,1 / 6,0 / 5,0 / 2,2 / 13,1 / 12,1 / 6,0 / 5,0 / 2,2 / 13,1 / 12,0 / 6,0 / 5,0 / 2,0 / 13,0 / 12,1 / 6,0 / 5,0 / 2,2 / 13,1 / 12,0 / 6,0 / 5,0 / 2,7.1,12.5,2 / 9,0 / 11,0 / 4,2 / 12,5 / 12,1 / 5,0 / 4,0 / 2,2 / 12,1 / 12,1 / 5,0 / 4,0 / 2,2 / 12,1 / 12,0 / 5,0 / 4,0 / 2,0 / 12,0 / 12,1 / 5,0 / 4,0 / 2,2 / 12,1 / 12,0 / 5,0 / 4,0 / 2,9,3,3,0,2,9,3,3,0,2,2.3,0.8,0.6,0.0,0.2,2.2,1.7,2.0,,2.0,15.0,0 / 5,1 / 6,,0 / 4,3 / 9,0 / 3,1 / 3,,0 / 2,3 / 9,0 / 3,1 / 3,,0 / 2,3 / 9,0 / 3,1 / 3,,0 / 2,0 / 9,0 / 3,0 / 3,,0 / 2,2 / 9,0 / 3,1 / 3,,0 / 2,3,4,4,4,9,0,0,1,0,0,0,0,13,0,0,0,13,0,,,1.9,,,,20.0,,,,5 / 13,,,,2 / 13,,,,2 / 13,,,,0 / 13,,,,1 / 13,,,Montgomery Fertility Center,Yes,No,Yes,Yes,Yes,Yes,No,No,0,MD
212,SHADY GROVE FERTILITY REPRODUCTIVE SCIENCE CENTER,,ROCKVILLE,MARYLAND,"9,413",64,"Michael J. Levy, MD",100%,0%,2%,63%,14%,10%,11%,26%,5%,4%,23%,16%,22%,7%,8%,"1,286",760,684,387,251,5.8,11.7,16.1,22.2,19.5,"1,040",564,465,228,147,1.3,1.4,1.8,2.1,2.4,70.4,51.9,18.9,4.9,1.6,40.7,32.9,26.3,17.3,9.6,34.7,26.7,16.8,10.9,4.4,31.7,24.3,14.8,9.0,3.6,2.9,2.4,1.9,1.8,0.8,27.7,20.4,12.6,8.0,2.0,43.0,33.7,24.3,16.4,6.7,50.4,44.3,38.7,29.4,16.3,42.9,36.0,24.7,18.4,7.5,39.2,32.8,21.7,15.4,6.1,3.6,3.2,2.8,3.1,1.4,34.2,27.5,18.5,13.6,3.4,"1,049",753,629,251,109,988,714,584,232,98,1.3,1.1,0.9,0.8,0.7,1.2,1.2,1.2,1.2,1.3,55.8,55.9,49.7,41.9,32.2,61.6,61.8,56.5,51.3,43.9,48.6,48.6,44.7,38.4,27.6,42.7,43.7,42.6,36.2,27.6,5.9,4.8,1.9,2.2,0.0,38.2,39.8,37.8,32.3,25.5,413,432,497,230,110,114,207,143,29,10,530,136,841,1,411,98,763,1,1.2,1.3,1.2,2.0,52.3,42.1,45.0,2 / 2,59.9,53.1,51.2,1 / 1,47.0,41.8,39.2,1 / 1,42.1,37.8,35.6,0 / 1,4.9,4.1,3.5,1 / 1,32.4,29.6,28.0,0 / 1,,Shady Grove Fertility-Rockville,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MD
213,FERTILITY CENTER OF MARYLAND,,TOWSON,MARYLAND,373,0,"Santiago L. Padilla, MD",100%,<1%,0%,31%,0%,19%,21%,27%,10%,14%,35%,16%,14%,23%,20%,82,44,63,22,21,7.3,11.4,23.8,31.8,57.1,71,35,43,14,8,1.4,1.5,2.2,3.6,3.5,52.6,45.2,17.5,0 / 14,0 / 6,32.9,43.2,25.4,27.3,4.8,28.0,31.8,19.0,13.6,0.0,25.6,27.3,12.7,4.5,0.0,2.4,4.5,6.3,9.1,0.0,22.0,22.7,9.5,0.0,0.0,28.7,38.5,21.5,14.0,3.6,38.0,54.3,37.2,6 / 14,1 / 8,32.4,40.0,27.9,3 / 14,0 / 8,29.6,34.3,18.6,1 / 14,0 / 8,2.8,5.7,9.3,2 / 14,0 / 8,25.4,28.6,14.0,0 / 14,0 / 8,57,42,17,1,3,49,35,15,0,2,2.0,2.5,1.9,,2.0,1.3,1.3,1.3,,1.0,32.3,28.3,25.0,,0 / 2,38.8,37.1,4 / 15,,0 / 2,32.7,25.7,4 / 15,,0 / 2,30.6,22.9,4 / 15,,0 / 2,2.0,2.9,0 / 15,,0 / 2,20.4,22.9,4 / 15,,0 / 2,13,3,2,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,,,1.0,1.0,,,0 / 1,1 / 1,,,0 / 1,1 / 1,,,0 / 1,1 / 1,,,0 / 1,1 / 1,,,0 / 1,0 / 1,,,0 / 1,0 / 1,,Fertility Center of Maryland,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,MD
214,SHADY GROVE FERTILITY RSC-TOWSON,,TOWSON,MARYLAND,"2,218",26,"Eugene Katz, MD",100%,0%,1%,69%,10%,11%,16%,20%,6%,3%,31%,17%,17%,8%,11%,489,208,195,54,29,4.3,6.3,12.3,18.5,17.2,394,170,141,33,16,1.2,1.4,1.9,2.4,2.6,72.1,43.7,7.3,0.0,0 / 14,45.2,38.9,27.7,16.7,17.2,36.0,30.3,17.9,9.3,3.4,33.5,26.0,14.4,7.4,3.4,2.5,4.3,3.6,1.9,0.0,28.8,23.6,12.8,1.9,3.4,49.3,36.0,23.7,12.9,8.6,56.1,47.6,38.3,27.3,5 / 16,44.7,37.1,24.8,15.2,1 / 16,41.6,31.8,19.9,12.1,1 / 16,3.0,5.3,5.0,3.0,0 / 16,35.8,28.8,17.7,3.0,1 / 16,335,155,97,36,12,323,146,91,32,7,1.3,1.1,0.9,0.6,0.3,1.2,1.2,1.3,1.5,1.4,56.4,42.2,38.5,17.1,5 / 10,61.3,50.0,46.2,28.1,4 / 7,47.1,37.0,34.1,15.6,3 / 7,42.4,34.2,33.0,12.5,2 / 7,4.3,2.7,1.1,3.1,1 / 7,37.5,30.8,28.6,9.4,2 / 7,136,86,80,49,17,23,32,17,6,3,103,21,90,0,83,14,82,0,1.2,1.5,1.1,,51.0,47.6,48.8,,57.8,7 / 14,57.3,,47.0,6 / 14,42.7,,42.2,3 / 14,42.7,,4.8,3 / 14,0.0,,36.1,3 / 14,36.6,,,Shady Grove Fertility-Towson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MD
215,BRIGHAM AND WOMEN'S HOSPITAL CENTER FOR ASSISTED REPRODUCTIVE TECHNOLOGY,,BOSTON,MASSACHUSETTS,"2,298",24,"Elizabeth S. Ginsburg, MD",100%,<1%,2%,38%,5%,8%,0%,35%,6%,3%,28%,12%,31%,7%,12%,294,204,223,104,74,3.4,3.4,7.6,9.6,6.8,268,189,194,90,62,1.2,1.5,2.0,3.1,3.7,76.1,53.9,24.0,7.7,1.8,42.9,40.2,30.9,19.2,24.3,31.0,30.9,22.9,13.5,14.9,28.2,27.5,17.0,11.5,13.5,2.7,3.4,5.8,1.9,1.4,23.8,21.6,15.7,8.7,12.2,40.2,31.8,20.2,7.1,7.1,47.0,43.4,35.6,22.2,29.0,34.0,33.3,26.3,15.6,17.7,31.0,29.6,19.6,13.3,16.1,3.0,3.7,6.7,2.2,1.6,26.1,23.3,18.0,10.0,14.5,359,270,181,85,41,330,238,163,73,40,1.4,1.5,1.3,1.3,1.1,1.2,1.3,1.5,1.7,2.1,54.7,48.1,37.0,28.4,5.6,63.0,60.9,52.8,47.9,25.0,47.3,41.2,37.4,32.9,10.0,43.3,36.6,33.7,28.8,10.0,3.9,4.6,3.7,4.1,0.0,38.2,30.3,28.8,27.4,7.5,147,80,74,38,17,51,22,14,3,3,33,0,50,0,32,0,50,0,1.1,,1.3,,75.0,,52.5,,78.1,,64.0,,62.5,,54.0,,62.5,,50.0,,0.0,,4.0,,62.5,,42.0,,,Brigham and Women's Hospital Center for Assisted Reproductive Technology,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,MA
216,MASSACHUSETTS GENERAL HOSPITAL FERTILITY CENTER,,BOSTON,MASSACHUSETTS,"1,072",0,"John C. Petrozza, MD",100%,0%,2%,60%,6%,12%,12%,26%,6%,6%,39%,9%,20%,9%,18%,244,136,125,53,17,4.9,5.1,9.6,15.1,3 / 17,220,120,103,41,14,1.2,1.5,2.0,2.7,3.1,76.5,43.4,4.4,0.0,0 / 12,50.0,40.4,36.0,26.4,1 / 17,46.3,33.8,29.6,13.2,0 / 17,45.1,31.6,25.6,7.5,0 / 17,1.2,2.2,4.0,5.7,0 / 17,34.4,26.5,23.2,7.5,0 / 17,48.1,32.4,23.2,17.8,2.3,55.5,45.8,43.7,34.1,1 / 14,51.4,38.3,35.9,17.1,0 / 14,50.0,35.8,31.1,9.8,0 / 14,1.4,2.5,4.9,7.3,0 / 14,38.2,30.0,28.2,9.8,0 / 14,131,97,64,13,10,125,95,63,13,10,1.2,1.4,1.6,0.8,3.3,1.1,1.2,1.3,1.4,1.8,47.6,49.5,37.0,1 / 18,1 / 18,50.4,54.7,42.9,1 / 13,1 / 10,44.0,44.2,33.3,0 / 13,0 / 10,41.6,42.1,30.2,0 / 13,0 / 10,2.4,2.1,3.2,0 / 13,0 / 10,32.0,33.7,23.8,0 / 13,0 / 10,52,36,27,8,3,22,20,10,2,2,35,1,20,0,34,1,19,0,1.2,2.0,1.1,,52.4,0 / 2,14 / 19,,61.8,0 / 1,11 / 19,,50.0,0 / 1,8 / 19,,47.1,0 / 1,7 / 19,,2.9,0 / 1,1 / 19,,32.4,0 / 1,4 / 19,,,Massachusetts General Hospital Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,MA
217,"FERTILITY SOLUTIONS, PC",,DEDHAM,MASSACHUSETTS,710,0,"Ania Kowalik, MD",>99%,0%,<1%,45%,6%,9%,8%,20%,6%,1%,25%,5%,39%,4%,9%,117,94,70,57,21,2.6,14.9,14.3,14.0,28.6,104,69,51,34,10,1.3,1.5,2.1,2.4,2.5,63.5,46.6,13.6,0.0,1 / 9,42.7,31.9,21.4,12.3,9.5,37.6,24.5,15.7,7.0,4.8,33.3,22.3,12.9,7.0,4.8,4.3,2.1,2.9,0.0,0.0,29.9,19.1,11.4,1.8,4.8,38.5,29.8,16.2,10.8,8.0,48.1,43.5,29.4,20.6,2 / 10,42.3,33.3,21.6,11.8,1 / 10,37.5,30.4,17.6,11.8,1 / 10,4.8,2.9,3.9,0.0,0 / 10,33.7,26.1,15.7,2.9,1 / 10,104,72,49,16,9,94,67,47,13,3,2.5,2.2,1.4,1.0,0.4,1.2,1.2,1.2,1.7,1.3,36.7,33.3,33.3,4 / 18,1 / 4,42.6,40.3,42.6,6 / 13,1 / 3,36.2,28.4,29.8,4 / 13,0 / 3,34.0,26.9,29.8,4 / 13,0 / 3,2.1,1.5,0.0,0 / 13,0 / 3,29.8,22.4,25.5,4 / 13,0 / 3,13,10,21,6,7,2,1,4,0,0,10,12,20,2,8,9,19,2,1.3,1.3,1.3,1.0,7 / 9,7 / 12,41.7,1 / 2,7 / 8,6 / 9,9 / 19,1 / 2,6 / 8,5 / 9,7 / 19,0 / 2,5 / 8,4 / 9,6 / 19,0 / 2,1 / 8,1 / 9,1 / 19,0 / 2,4 / 8,2 / 9,5 / 19,0 / 2,,"Fertility Solutions, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MA
