OrderID,CurrClinNameAll,ClinCityCode,state_code,MedicalDirector,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,state_code,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,DonorEgg,DonorEmbryo,EmbryoCryo,EggCryo,SingleWomen,Surrogates,SART_Member,ClinStateCode,state_code
66,Northern California Fertility Medical Center,ROSEVILLE,CA,"Michael Murray, MD",43.6,32.6,26.3,1 / 13,2 / 9,36.4,20.9,18.4,0 / 13,2 / 9,52.4,45.3,49,4 / 13,5 / 7,34.3,34,26.5,4 / 13,5 / 7,CA,110,43,38,13,9,,105,53,49,13,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
67,Kaiser Permanente Center for Reproductive Health-Sacramento,SACRAMENTO,CA,"Sae Sohn, MD",47.5,44,37.8,33.3,1 / 13,37.4,31.9,24.3,33.3,1 / 13,48.5,61.5,66.7,1 / 2,0 / 2,39.4,48.7,52.4,1 / 2,0 / 2,CA,198,91,74,24,13,,66,39,21,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
68,Fertility Specialists Medical Group,SAN DIEGO,CA,"Arlene J. Morales, MD",3 / 9,4 / 8,1 / 5,0 / 3,0 / 1,0 / 9,4 / 8,0 / 5,0 / 3,0 / 1,47.8,34.5,23.3,2 / 7,1 / 3,39.1,31,16.7,2 / 7,1 / 3,CA,9,8,5,3,1,,92,58,30,7,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
69,Hanabusa IVF,SAN DIEGO,CA,"Lyndon Chang, MD",0 / 1,1 / 1,0 / 1,0 / 2,1 / 3,0 / 1,1 / 1,0 / 1,0 / 2,1 / 3,2 / 11,4 / 7,3 / 7,2 / 7,1 / 3,2 / 11,3 / 7,1 / 7,2 / 7,1 / 3,CA,1,1,1,2,3,,11,7,7,7,3,Yes,No,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
70,Naval Medical Center San Diego Infertility Clinic,SAN DIEGO,CA,"Larry R. Laufer, MD",44.1,31.8,2 / 9,0 / 3,,35.3,22.7,1 / 9,0 / 3,,38.2,39.4,7 / 9,2 / 3,1 / 3,23.6,21.2,4 / 9,2 / 3,0 / 3,CA,34,22,9,3,0,,89,33,9,3,3,No,No,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
71,Reproductive Sciences Medical Center,SAN DIEGO,CA,"Samuel H. Wood, MD, PhD",,,1 / 1,,0 / 1,,,1 / 1,,0 / 1,34.8,59.1,4 / 17,3 / 9,0 / 5,19.6,31.8,4 / 17,3 / 9,0 / 5,CA,0,0,1,0,1,,46,22,17,9,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
72,San Diego Fertility Center,SAN DIEGO,CA,"Sandy Chuan, MD",35,25,25,0 / 5,0 / 1,25,20,15,0 / 5,0 / 1,42.8,43.2,43,28.1,2 / 14,27.8,30.5,30.4,18.8,2 / 14,CA,20,20,20,5,1,,187,95,79,32,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
73,Laurel Fertility Care,SAN FRANCISCO,CA,"Collin B. Smikle, MD",37.5,4 / 10,0 / 5,1 / 4,0 / 4,28.1,2 / 10,0 / 5,1 / 4,0 / 4,53.1,46.4,34.5,7 / 14,1 / 3,30.6,32.1,27.6,4 / 14,1 / 3,CA,32,10,5,4,4,,49,28,29,14,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
74,Pacific Fertility Center,SAN FRANCISCO,CA,"Philip E. Chenette, MD",40,1 / 8,2 / 9,0 / 9,2 / 5,40,0 / 8,2 / 9,0 / 9,2 / 5,55.4,53.4,53.2,44.9,30,45.8,46.6,46.8,39.1,30,CA,20,8,9,9,5,,168,146,158,69,40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
75,Spring Fertility,SAN FRANCISCO,CA,"Nam D. Tran, MD, PhD",3 / 4,4 / 5,0 / 4,1 / 3,0 / 1,1 / 4,4 / 5,0 / 4,1 / 3,0 / 1,5 / 11,5 / 8,4 / 5,0 / 1,0 / 2,5 / 11,5 / 8,4 / 5,0 / 1,0 / 2,CA,4,5,4,3,1,,11,8,5,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
76,UCSF Center for Reproductive Health,SAN FRANCISCO,CA,"Marcelle I. Cedars, MD",48.5,43.4,32.9,16.7,7.7,38.8,29.2,22,10.7,3.8,52.3,46.3,47.3,46.3,25.8,39.2,33.1,36.6,35.4,19.7,CA,134,113,164,84,52,,130,136,186,82,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
77,Palo Alto Medical Foundation Fertility Physicians of Northern California,SAN JOSE,CA,"G. David Adamson, MD",42.2,37.1,22.6,15.4,0,29.7,27.1,21,7.7,0,42.4,40.7,40.9,36,13,34.3,31.4,34.8,24,4.3,CA,64,70,62,39,22,,99,86,66,25,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
78,"Alex Steinleitner, MD, Inc.",SAN LUIS OBISPO,CA,"Alex J. Steinleitner, MD",35,3 / 9,1 / 2,1 / 5,1 / 2,20,1 / 9,0 / 2,0 / 5,0 / 2,30,22.2,0 / 3,0 / 6,0 / 2,13.3,5.6,0 / 3,0 / 6,0 / 2,CA,20,9,2,5,2,,30,36,3,6,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
79,Reproductive Science Center of the San Francisco Bay Area,SAN RAMON,CA,"Louis N. Weckstein, MD",56.1,48.2,36.8,4 / 12,1 / 5,39.4,37.3,28.9,4 / 12,1 / 5,59.9,59.3,64.4,56.9,42.3,46.8,45.1,51.4,41.2,34.6,CA,155,83,38,12,5,,297,204,146,51,26,Yes,No,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
80,Santa Barbara Fertility Center,SANTA BARBARA,CA,"René B. Allen, MD",35.7,33.3,4 / 15,1 / 5,12.5,26.2,23.8,1 / 15,1 / 5,12.5,1 / 2,,1 / 2,,,0 / 2,,1 / 2,,,CA,42,21,15,5,24,,2,0,2,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
81,Santa Monica Fertility,SANTA MONICA,CA,"John K. Jain, MD",,,1 / 1,,,,,0 / 1,,,7 / 9,3 / 4,3 / 6,3 / 4,0 / 2,6 / 9,2 / 4,3 / 6,1 / 4,0 / 2,CA,0,0,1,0,0,,9,4,6,4,2,Yes,No,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
82,Santa Monica UCLA GYN Subspecialties Group,SANTA MONICA,CA,"Ingrid A. Rodi, MD",1 / 2,1 / 3,2 / 5,,0 / 1,0 / 2,0 / 3,2 / 5,,0 / 1,46.4,40,5 / 8,1 / 3,1 / 2,32.1,30,3 / 8,1 / 3,1 / 2,CA,2,3,5,0,1,,28,20,8,3,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
83,"Advanced Fertility Associates Medical Group, Inc.",SANTA ROSA,CA,"Jennifer V. Ratcliffe, MD, PhD",50,7 / 17,3 / 9,1 / 5,1 / 2,18.8,4 / 17,2 / 9,1 / 5,1 / 2,45.5,4 / 16,5 / 8,0 / 2,0 / 5,22.7,2 / 16,4 / 8,0 / 2,0 / 5,CA,32,17,9,5,2,,22,16,8,2,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
84,"Valley Center for Reproductive Health, Inc., West Coast Women's Reproductive Center",SHERMAN OAKS,CA,"Tina B. Koopersmith, MD",2 / 3,1 / 2,0 / 3,1 / 1,0 / 2,1 / 3,0 / 2,0 / 3,1 / 1,0 / 2,8 / 13,6 / 8,3 / 10,2 / 4,0 / 1,7 / 13,5 / 8,2 / 10,1 / 4,0 / 1,CA,3,2,3,1,2,,13,8,10,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
85,"The Center for Fertility and Gynecology, Vermesh Center for Fertility",TARZANA,CA,"Michael Vermesh, MD",54.5,4 / 9,2 / 9,2 / 12,2 / 19,22.7,2 / 9,1 / 9,2 / 12,1 / 19,45.7,9 / 14,8 / 13,6 / 13,0 / 4,34.3,6 / 14,8 / 13,4 / 13,0 / 4,CA,22,9,9,12,19,,35,14,13,13,4,Yes,No,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
86,"Tree of Life Center for Fertility, Snunit Ben-Ozer, MD",TARZANA,CA,"Snunit Ben-Ozer, MD",,,,,,,,,,,4 / 4,4 / 7,2 / 4,1 / 1,,2 / 4,2 / 7,1 / 4,0 / 1,,CA,0,0,0,0,0,,4,7,4,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
87,Fertility and Surgical Associates of California,THOUSAND OAKS,CA,"Gary Hubert, MD",1 / 4,,,0 / 1,1 / 3,1 / 4,,,0 / 1,1 / 3,57.8,55.7,56,34.3,34.6,38.3,41.2,39.6,23.9,19.2,CA,4,0,0,1,3,,128,131,91,67,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
88,Pacific Reproductive Center,TORRANCE,CA,"Rifaat Salem, MD, PhD",59.3,45.7,37.9,2 / 12,1 / 16,28.6,34.3,31,2 / 12,1 / 16,6 / 16,5 / 13,1 / 7,2 / 3,0 / 2,4 / 16,3 / 13,1 / 7,2 / 3,0 / 2,CA,91,35,29,12,16,,16,13,7,3,2,Yes,Yes,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
89,University Fertility Center,TORRANCE,CA,"Omid A. Khorram, MD, PhD",45.2,41.7,37.9,0 / 15,0 / 6,12.9,8.3,13.8,0 / 15,0 / 6,39.1,4 / 8,3 / 14,1 / 5,0 / 3,4.3,1 / 8,2 / 14,0 / 5,0 / 3,CA,31,24,29,15,6,,23,8,14,5,3,Yes,Yes,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
90,"California Center for Reproductive Health, Reproductive Fertility Center",WEST HOLLYWOOD,CA,"Peyman Saadat, MD",50,26.1,32,1 / 14,2 / 16,31.8,17.4,16,0 / 14,1 / 16,53.8,42.9,41.9,30.8,5 / 10,30.8,28.6,32.3,26.9,3 / 10,CA,22,23,25,14,16,,104,70,62,26,10,Yes,No,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
91,HQA Fertility Centers,COLORADO SPRINGS,CO,"Paul C. Magarelli, MD, PhD",1 / 1,0 / 1,,,,1 / 1,0 / 1,,,,36.5,52.4,35,3 / 8,0 / 3,23.8,35.7,15,1 / 8,0 / 3,CO,1,1,0,0,0,,126,42,20,8,3,No,No,Yes,Yes,Yes,Yes,No,COLORADO,CO
92,"Advanced Reproductive Medicine, University of Colorado",DENVER,CO,"Edward H. Illions, MD",1 / 10,3 / 4,,,,0 / 10,3 / 4,,,,59.3,20,9 / 16,3 / 8,,46.3,20,5 / 16,2 / 8,,CO,10,4,0,0,0,,54,25,16,8,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,COLORADO,CO
93,Colorado Reproductive Endocrinology,DENVER,CO,"Susan W. Trout, MD",2 / 14,1 / 9,0 / 3,0 / 1,,1 / 14,1 / 9,0 / 3,0 / 1,,2 / 7,2 / 7,2 / 6,1 / 3,0 / 1,1 / 7,2 / 7,1 / 6,0 / 3,0 / 1,CO,14,9,3,1,0,,7,7,6,3,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,COLORADO,CO
94,Denver Fertility-Albrecht Women's Care,ENGLEWOOD,CO,"Bruce H. Albrecht, MD",8 / 12,3 / 5,2 / 6,0 / 3,,6 / 12,3 / 5,2 / 6,0 / 3,,36,3 / 10,2 / 10,,1 / 2,24,2 / 10,2 / 10,,1 / 2,CO,12,5,6,3,0,,25,10,10,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,COLORADO,CO
95,Rocky Mountain Center for Reproductive Medicine,FORT COLLINS,CO,"Kevin E. Bachus, MD",61.9,6 / 16,2 / 8,0 / 2,,38.1,2 / 16,1 / 8,0 / 2,,3 / 14,4 / 11,4 / 7,0 / 1,1 / 1,2 / 14,2 / 11,3 / 7,0 / 1,1 / 1,CO,21,16,8,2,0,,14,11,7,1,1,Yes,No,Yes,No,Yes,No,Yes,COLORADO,CO
96,Conceptions Reproductive Associates of Colorado,LITTLETON,CO,"Mark R. Bush, MD",6 / 10,2 / 2,1 / 1,0 / 2,,4 / 10,1 / 2,1 / 1,0 / 2,,68.2,64.2,62,86.4,3 / 8,51,38.7,47.9,59.1,2 / 8,CO,10,2,1,2,0,,239,106,71,22,8,Yes,Yes,Yes,Yes,Yes,Yes,No,COLORADO,CO
97,Colorado Center for Reproductive Medicine,LONE TREE,CO,"William B. Schoolcraft, MD",63.2,7 / 13,3 / 5,,,42.1,4 / 13,3 / 5,,,63.9,62.9,68.2,57,54.9,42.9,43.4,46.2,38.3,40.2,CO,38,13,5,0,0,,462,350,299,149,102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,COLORADO,CO
98,Rocky Mountain Fertility Center,PARKER,CO,"Deborah L. Smith, MD",41.9,8 / 15,0 / 7,,,32.3,7 / 15,0 / 7,,,8 / 15,12 / 18,0 / 3,1 / 2,,4 / 15,8 / 18,0 / 3,1 / 2,,CO,31,15,7,0,0,,15,18,3,2,0,Yes,Yes,Yes,Yes,Yes,Yes,No,COLORADO,CO
99,CT Fertility,BRIDGEPORT,CT,"Melvin H. Thornton, MD",1 / 15,1 / 9,2 / 8,0 / 1,0 / 6,0 / 15,1 / 9,2 / 8,0 / 1,0 / 6,2 / 13,4 / 15,1 / 11,2 / 6,0 / 3,2 / 13,3 / 15,0 / 11,2 / 6,0 / 3,CT,15,9,8,1,6,,13,15,11,6,3,Yes,No,Yes,Yes,Yes,Yes,Yes,CONNECTICUT,CT
100,Center for Advanced Reproductive Services,FARMINGTON,CT,"John C. Nulsen, MD",51.9,46.9,30.3,15.2,4.8,37.8,26.6,18,9.1,4.8,61.1,57.7,56.4,33.3,2 / 8,42.9,40.2,45.5,25.9,2 / 8,CT,291,128,89,33,21,,198,97,55,27,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CONNECTICUT,CT
101,"Greenwich Fertility and IVF Center, PC",GREENWICH,CT,"Barry R. Witt, MD",42,36.7,5 / 19,0 / 4,4 / 7,38,26.7,4 / 19,0 / 4,4 / 7,52.9,51.7,51.9,3 / 7,2 / 6,41.2,34.5,44.4,3 / 7,1 / 6,CT,50,30,19,4,7,,85,58,27,7,6,Yes,No,Yes,Yes,Yes,Yes,Yes,CONNECTICUT,CT
102,Yale Fertility Center,NEW HAVEN,CT,"Pasquale Patrizio, MD",55.2,41.3,43.2,3 / 14,1 / 18,35.6,32.6,36.4,2 / 14,1 / 18,50,50,44.9,6 / 15,3 / 7,33.3,38.2,24.5,5 / 15,3 / 7,CT,87,46,44,14,18,,78,34,49,15,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CONNECTICUT,CT
103,Reproductive Medicine Associates of Connecticut,NORWALK,CT,"Mark P. Leondires, MD",41,38.1,28,10 / 19,0 / 9,28.9,23.8,20,8 / 19,0 / 9,58.4,46.8,40.4,51.7,4 / 10,39.5,32.3,25.5,41.4,4 / 10,CT,83,42,25,19,9,,185,124,94,29,10,Yes,No,Yes,Yes,Yes,Yes,Yes,CONNECTICUT,CT
104,New England Fertility Institute,STAMFORD,CT,"Gad Lavy, MD",9 / 18,5 / 12,2 / 17,1 / 7,0 / 3,6 / 18,4 / 12,2 / 17,0 / 7,0 / 3,58.1,12 / 16,36.4,3 / 9,2 / 6,38.7,8 / 16,27.3,1 / 9,2 / 6,CT,18,12,17,7,3,,31,16,22,9,6,Yes,No,Yes,Yes,Yes,Yes,Yes,CONNECTICUT,CT
105,The Stamford Hospital,STAMFORD,CT,"Frances W. Ginsburg, MD",2 / 3,2 / 3,0 / 1,,,1 / 3,2 / 3,0 / 1,,,1 / 1,,,,,1 / 1,,,,,CT,3,3,1,0,0,,1,0,0,0,0,,,,,,,,CONNECTICUT,CT
106,Park Avenue Fertility and Reproductive Medicine,TRUMBULL,CT,"Andrew J. Levi, MD",73.3,4 / 15,3 / 15,1 / 8,0 / 3,40,3 / 15,2 / 15,1 / 8,0 / 3,9 / 17,4 / 6,4 / 7,1 / 2,1 / 3,6 / 17,2 / 6,3 / 7,1 / 2,1 / 3,CT,30,15,15,8,3,,17,6,7,2,3,Yes,No,Yes,Yes,Yes,Yes,Yes,CONNECTICUT,CT
107,"Delaware Institute for Reproductive Medicine, PA",NEWARK,DE,"Jeffrey B. Russell, MD",,0 / 2,,,,,0 / 2,,,,38.8,31.3,20.8,1 / 3,,25.4,18.8,12.5,1 / 3,,DE,0,2,0,0,0,,67,32,24,3,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DELAWARE,DE
108,Reproductive Associates of Delaware,NEWARK,DE,"Ronald F. Feinberg, MD, PhD",53.1,2 / 5,1 / 4,0 / 1,0 / 1,50,2 / 5,1 / 4,0 / 1,0 / 1,51.9,47.2,31.7,1 / 6,4 / 8,43.5,36.1,27,1 / 6,4 / 8,DE,32,5,4,1,1,,154,72,63,6,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DELAWARE,DE
109,Columbia Fertility Associates,WASHINGTON,DC,"Safa Rifka, MD",41.8,26.2,19.2,8.1,13.5,32.8,18.5,15.4,2.7,2.7,37.1,17.5,37.1,3 / 12,5 / 11,28.6,15,28.6,2 / 12,5 / 11,DC,67,65,52,37,37,,35,40,35,12,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DISTRICT OF COLUMBIA,DC
110,George Washington University Medical Faculty Associates,WASHINGTON,DC,"David Frankfurter, MD",3 / 16,2 / 10,2 / 17,0 / 10,0 / 3,3 / 16,2 / 10,0 / 17,0 / 10,0 / 3,34.1,49,35.7,5 / 17,2 / 7,31.8,42.9,33.3,5 / 17,1 / 7,DC,16,10,17,10,3,,44,49,42,17,7,Yes,No,Yes,Yes,Yes,No,Yes,DISTRICT OF COLUMBIA,DC
111,"James A. Simon, MD, PC",WASHINGTON,DC,"James A. Simon, MD",0 / 1,,0 / 1,,,0 / 1,,0 / 1,,,,,,,,,,,,,DC,1,0,1,0,0,,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes,No,DISTRICT OF COLUMBIA,DC
112,BocaFertility,BOCA RATON,FL,"Moshe (Maurice) R. Peress, MD",2 / 6,1 / 3,1 / 4,0 / 1,0 / 1,1 / 6,1 / 3,1 / 4,0 / 1,0 / 1,59.1,5 / 13,5 / 13,2 / 6,0 / 4,36.4,3 / 13,5 / 13,1 / 6,0 / 4,FL,6,3,4,1,1,,22,13,13,6,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
113,Palm Beach Fertility Center,BOCA RATON,FL,"Mark S. Denker, MD",45.5,5 / 13,2 / 8,0 / 4,0 / 1,27.3,3 / 13,2 / 8,0 / 4,0 / 1,3 / 7,1 / 3,1 / 5,0 / 1,,3 / 7,0 / 3,0 / 5,0 / 1,,FL,22,13,8,4,1,,7,3,5,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
114,Polcz Fertility Center,BOYNTON BEACH,FL,"Tibor E. Polcz, MD",4 / 7,1 / 3,2 / 4,,,3 / 7,0 / 3,2 / 4,,,,,,,,,,,,,FL,7,3,4,0,0,,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,FLORIDA,FL
115,Florida Fertility Institute,CLEARWATER,FL,"Mark D. Sanchez, MD",38.2,5 / 18,30,0 / 3,0 / 1,30.9,3 / 18,30,0 / 3,0 / 1,38.1,4 / 13,3 / 12,1 / 4,,14.3,3 / 13,1 / 12,0 / 4,,FL,55,18,20,3,1,,42,13,12,4,0,Yes,No,Yes,Yes,Yes,Yes,No,FLORIDA,FL
116,"Southwest Florida Fertility Center, PA",FORT MYERS,FL,"Jacob L. Glock, MD",5 / 12,3 / 5,0 / 4,0 / 5,0 / 3,1 / 12,1 / 5,0 / 4,0 / 5,0 / 3,7 / 12,2 / 6,4 / 9,1 / 5,0 / 2,0 / 12,0 / 6,0 / 9,0 / 5,0 / 2,FL,12,5,4,5,3,,12,6,9,5,2,Yes,No,Yes,Yes,Yes,Yes,No,FLORIDA,FL
117,"Specialists in Reproductive Medicine and Surgery, PA, Embryo Donation International, PL",FORT MYERS,FL,"Craig R. Sweet, MD",50,7 / 14,1 / 7,1 / 2,,26.5,4 / 14,1 / 7,1 / 2,,7 / 15,1 / 5,1 / 3,,,6 / 15,1 / 5,1 / 3,,,FL,34,14,7,2,0,,15,5,3,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
118,UF Health Reproductive Medicine at Springhill,GAINESVILLE,FL,"Alice S. Rhoton-Vlasak, MD",5 / 13,4 / 9,2 / 5,1 / 2,0 / 2,4 / 13,4 / 9,1 / 5,1 / 2,0 / 2,11 / 17,5 / 7,2 / 3,,1 / 1,8 / 17,4 / 7,1 / 3,,1 / 1,FL,13,9,5,2,2,,17,7,3,0,1,Yes,No,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
119,Assisted Fertility Program,JACKSONVILLE,FL,"Marwan M. Shaykh, MD",5 / 13,1 / 5,0 / 8,1 / 2,,3 / 13,0 / 5,0 / 8,0 / 2,,30.8,1 / 1,2 / 5,0 / 1,0 / 2,11.5,0 / 1,0 / 5,0 / 1,0 / 2,FL,13,5,8,2,0,,26,1,5,1,2,Yes,Yes,Yes,Yes,Yes,Yes,No,FLORIDA,FL
120,Brown Fertility,JACKSONVILLE,FL,"Samuel E. Brown, MD",43.5,45.8,24.1,0 / 6,1 / 7,38,25,20.7,0 / 6,1 / 7,33.9,26.9,21.7,5 / 14,0 / 3,22,19.2,15.2,5 / 14,0 / 3,FL,108,48,29,6,7,,109,52,46,14,3,Yes,Yes,Yes,Yes,Yes,Yes,No,FLORIDA,FL
121,Florida Institute for Reproductive Medicine,JACKSONVILLE,FL,"Kevin L. Winslow, MD",57.7,30,1 / 9,0 / 7,0 / 1,42.3,25,1 / 9,0 / 7,0 / 1,51.1,38,39.2,40.9,2 / 8,33.6,27.8,23.5,31.8,1 / 8,FL,26,20,9,7,1,,274,108,51,22,8,Yes,Yes,Yes,Yes,Yes,Yes,No,FLORIDA,FL
122,Jacksonville Center for Reproductive Medicine,JACKSONVILLE,FL,"Michael D. Fox, MD",45.2,8 / 18,2 / 9,0 / 6,,28.6,5 / 18,2 / 9,0 / 6,,8.1,19,0 / 14,2 / 4,0 / 1,8.1,14.3,0 / 14,2 / 4,0 / 1,FL,42,18,9,6,0,,37,21,14,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
123,IVF Florida Reproductive Associates,MARGATE,FL,"David I. Hoffman, MD",36.1,43.6,18.3,16.7,0,26.6,28.7,8.7,16.7,0,45,33.3,39.8,26.7,13,30.1,25,31.3,16.7,13,FL,158,94,115,42,20,,209,84,83,30,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
124,Viera Fertility Center,MELBOURNE,FL,"Diran J. Chamoun, MD",5 / 13,0 / 4,1 / 5,1 / 1,0 / 2,1 / 13,0 / 4,1 / 5,1 / 1,0 / 2,2 / 5,0 / 4,,,,1 / 5,0 / 4,,,,FL,13,4,5,1,2,,5,4,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
125,Conceptions Florida: Center for Fertility and Genetics,MIAMI,FL,"Armando E. Hernandez-Rey, MD",34.6,5 / 12,15,1 / 9,0 / 6,23.1,4 / 12,10,1 / 9,0 / 6,40.9,3 / 7,5 / 14,3 / 5,0 / 1,27.3,3 / 7,5 / 14,1 / 5,0 / 1,FL,26,12,20,9,6,,22,7,14,5,1,No,No,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
126,"Fertility & IVF Center of Miami, Inc.",MIAMI,FL,"Michael H. Jacobs, MD",5 / 15,3 / 8,4 / 14,1 / 2,0 / 7,3 / 15,2 / 8,3 / 14,1 / 2,0 / 7,45.3,50,53.7,47.8,24,32.1,27.8,29.3,43.5,12,FL,15,8,14,2,7,,106,72,41,23,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
127,University of Miami Infertility Center,MIAMI,FL,"George R. Attia, MD",62.5,21.9,11.5,3 / 7,0 / 5,18.8,15.6,11.5,2 / 7,0 / 5,50,6 / 15,4 / 12,3 / 3,2 / 5,36.4,2 / 15,1 / 12,3 / 3,1 / 5,FL,32,32,26,7,5,,22,15,12,3,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
128,"Center for Reproductive Medicine, PA",ORLANDO,FL,"Randall A. Loy, MD",7 / 19,4 / 11,3 / 9,0 / 5,0 / 2,5 / 19,3 / 11,1 / 9,0 / 5,0 / 2,46.8,45.1,29.8,42.3,0 / 7,37.4,36.9,21.2,26.9,0 / 7,FL,19,11,9,5,2,,203,122,104,26,7,Yes,No,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
129,Reproductive Medicine Institute,ORLANDO,FL,"Fernando L. Gomez, MD",3 / 11,0 / 4,2 / 7,,0 / 2,0 / 11,0 / 4,0 / 7,,0 / 2,1 / 5,2 / 2,,,,0 / 5,0 / 2,,,,FL,11,4,7,0,2,,5,2,0,0,0,,,,,,,,FLORIDA,FL
130,"New Leaders in Fertility & Endocrinology, LLC",PENSACOLA,FL,"Barry A. Ripps, MD",43.8,51.7,4 / 13,0 / 5,0 / 5,29.2,34.5,4 / 13,0 / 5,0 / 5,44.8,3 / 7,0 / 3,,0 / 1,20.7,3 / 7,0 / 3,,0 / 1,FL,89,29,13,5,5,,29,7,3,0,1,No,No,Yes,Yes,Yes,No,Yes,FLORIDA,FL
131,Fertility & Genetics,PLANTATION,FL,"Mick Abaé, MD",25,5 / 15,3 / 18,0 / 5,,16.7,5 / 15,3 / 18,0 / 5,,25.9,7 / 19,7 / 14,1 / 4,0 / 2,25.9,6 / 19,4 / 14,1 / 4,0 / 2,FL,24,15,18,5,0,,27,19,14,4,2,Yes,No,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
132,Fertility Center & Applied Genetics of Florida,SARASOTA,FL,"Julio E. Pabon, MD",,0 / 1,1 / 1,,,,0 / 1,1 / 1,,,53.3,9 / 14,5 / 15,2 / 3,1 / 1,43.3,8 / 14,5 / 15,1 / 3,0 / 1,FL,0,1,1,0,0,,30,14,15,3,1,Yes,Yes,Yes,Yes,Yes,Yes,No,FLORIDA,FL
